id,title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_countries,spoken_languages,keywords,cast_3,director
89708,Samsara,8.059,553,2011,0,102,False,4000000,en,Samsara,"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.",10.146,/qodkea4k0pNUmNTl5TJO2PdTqgW.jpg,No tagline,['Documentary'],"['Brazil', 'China', 'Denmark', 'Egypt', 'Ethiopia', 'Ghana', 'Indonesia', 'Italy', 'Japan', 'Jordan', 'Namibia', 'Saudi Arabia', 'South Korea', 'Thailand', 'United Arab Emirates', 'United States of America']",['No Language'],"['eating', 'around the world', 'balance', 'skyline', 'sunset', 'modern life', 'moonrise', 'poetic documentary']","['Marcos Luna', 'Putu Dinda Pratika', 'Puti Sri Candra Dewi']",['Ron Fricke']
12150,Sea of Love,6.605,553,1989,110879513,113,False,19000000,en,Sea of Love,"Seen-it-all New York detective Frank Keller is unsettled - he has done twenty years on the force and could retire, and he hasn't come to terms with his wife leaving him for a colleague. Joining up with an officer from another part of town to investigate a series of murders linked by the lonely hearts columns he finds he is getting seriously and possibly dangerously involved with Helen, one of the main suspects.",12.452,/vJ88WmJ12eAK9CRb3cggn9CJthH.jpg,Deception is dangerous. Desire is deadly.,"['Crime', 'Drama', 'Romance', 'Mystery', 'Thriller']",['United States of America'],['English'],"['new york city', 'newspaper', 'police', 'alcohol', 'detective', 'murder', 'serial killer', 'neo-noir']","['Al Pacino', 'Ellen Barkin', 'John Goodman']",['Harold Becker']
18570,"Food, Inc.",7.298,548,2008,0,94,False,0,en,"Food, Inc.","Documentary filmmaker Robert Kenner examines how mammoth corporations have taken over all aspects of the food chain in the United States, from the farms where our food is grown to the chain restaurants and supermarkets where it's sold. Narrated by author and activist Eric Schlosser, the film features interviews with average Americans about their dietary habits, commentary from food experts like Michael Pollan and unsettling footage shot inside large-scale animal processing plants.",5.643,/3IMNzRog9pNdR1k743vocL3cc2H.jpg,You'll never look at dinner the same way again.,['Documentary'],['United States of America'],['English'],"['agriculture', 'food', 'food industry', 'monsanto', 'organic food', 'sustainable', 'corn', 'meat industry']","['Michael Pollan', 'Eric Schlosser', 'Richard Lobb']",['Robert Kenner']
4012,The Believer,6.878,547,2001,1309316,98,False,1500000,en,The Believer,"A hardcore US racist skinhead who, because of his intelligence, leads a gang dedicated to fighting the enemy: the supposed American-Jewish conspiracy for domination. However, he's hiding a secret: he's Jewish-born, a brilliant scholar whose questioning of the tenets of his faith has left him angry and confused, turning against those who he thinks have a tragic history of their own making.",16.084,/6hw5RXCVgqKtY6xmHsEWRjJXljM.jpg,He's a jew. He’s a Neo-Nazi. With one true enemy… Himself!,['Drama'],['United States of America'],"['English', 'Hebrew', 'Hungarian']","['new york city', 'skinhead', 'bomb', 'psychopath', 'world war ii', 'jewish life', 'synagogue', 'vandalism', 'judaism', 'anti-semitism', 'reporter', 'bomb planting', 'hatred', 'self-loathing', 'nazism']","['Ryan Gosling', 'Summer Phoenix', 'Theresa Russell']",['Henry Bean']
12227,White Fang,6.686,547,1991,34793160,107,False,14000000,en,White Fang,Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.,14.784,/27wg0rVZW8hX7nWeHCwTf9DygGc.jpg,"Where civilization ends, their journey begins.","['Action', 'Adventure', 'Drama', 'Family']",['United States of America'],['English'],"['friendship', 'gold', 'treasure', 'based on novel or book', 'coffin', 'human animal relationship', 'alaska', 'shootout', 'dog', 'prospector', 'klondike', 'yukon', 'canada', 'gold miner', 'pets']","['Klaus Maria Brandauer', 'Ethan Hawke', 'Seymour Cassel']",['Randal Kleiser']
20770,But I'm a Cheerleader,6.96,547,2000,2600000,85,False,1200000,en,But I'm a Cheerleader,"Megan is an all-American girl. A cheerleader. She has a boyfriend. But Megan doesn't like kissing her boyfriend very much. And she's pretty touchy with her cheerleader friends. Her conservative parents worry that she must be a lesbian and send her off to ""sexual redirection"" school, where she must, with other lesbians and gays learn how to be straight.",13.44,/zC3BaoHJsrIeqOg4eZolNszsTej.jpg,A Comedy Of Sexual Disorientation.,"['Comedy', 'Romance']",['United States of America'],['English'],"['coming out', 'cheerleader', 'male homosexuality', 'lgbt', 'lgbt teen', 'woman director', 'shame', 'conversion therapy', 'lesbian', 'sapphic']","['Natasha Lyonne', 'Brandt Wille', 'Bud Cort']",['Jamie Babbit']
126319,Ernest & Celestine,7.817,546,2012,8109160,78,False,12516654,fr,Ernest et Célestine,"Celestine is a little mouse trying to avoid a dental career while Ernest is a big bear craving an artistic outlet. When Celestine meets Ernest, they overcome their natural enmity by forging a life of crime together.",13.791,/iJPbRASktYW0I009Ktc2zUE6Fvg.jpg,"Bonnie and Clyde, Sid and Nancy...","['Animation', 'Comedy', 'Drama', 'Family', 'Adventure']","['Belgium', 'France', 'Luxembourg']",['French'],"['friendship', 'underground world', 'musician', 'mouse', 'brotherhood', 'trial', 'prejudice', 'bear', ""based on children's book"", 'teeth', 'racial prejudice']","['Anne-Marie Loop', 'Lambert Wilson', 'Pauline Brunner']","['Stéphane Aubier', 'Vincent Patar', 'Benjamin Renner']"
10712,Far from Heaven,7.025,546,2002,29027914,107,False,13500000,en,Far from Heaven,"In 1950s Connecticut, a housewife's life is upended by a marital crisis and mounting racial tensions in society.",15.271,/uhwp04fSV9hVzzMruckODvZFGTj.jpg,What imprisons desires of the heart?,"['Drama', 'Romance']","['France', 'United States of America']",['English'],"['husband wife relationship', 'black people', 'housewife', 'botanist', 'connecticut', 'interracial relationship', 'male homosexuality', 'relationship', 'suburb', '1950s', 'people', 'relationships', 'gay theme', 'melodrama']","['Julianne Moore', 'Dennis Quaid', 'Dennis Haysbert']",['Todd Haynes']
9819,Marvin's Room,6.708,544,1996,12803305,98,False,23000000,en,Marvin's Room,A leukemia patient attempts to end a 20-year feud with her sister to get her bone marrow.,14.066,/lTHq1K5Y6EDRjxTBvReXHY6AKQ3.jpg,A story about the years that keep us apart... And the moments that bring us together.,['Drama'],['United States of America'],"['English', 'Spanish']","['florida', 'sibling relationship', 'based on play or musical', 'sister', 'leukemia', 'reunion', 'cancer', 'bone marrow transplant', 'estranged sister']","['Diane Keaton', 'Meryl Streep', 'Leonardo DiCaprio']",['Jerry Zaks']
21334,Children of Heaven,7.958,542,1997,925402,89,False,180000,fa,بچه‌های آسمان,"Zohre's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zohre until they come up with an idea: they will share one pair of shoes. School awaits.",15.223,/jWqh1CJWAEcxckMRrf6ARhIEh0R.jpg,A Little Secret... Their Biggest Adventure!,"['Drama', 'Family']",['Iran'],['Persian'],"['sibling relationship', 'class', 'foot race']","['Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi']",['Majid Majidi']
20178,World's Greatest Dad,6.576,541,2009,295750,99,False,10000000,en,World's Greatest Dad,"In the wake of a freak accident, Lance suffers the worst tragedy and the greatest opportunity of his life. He is suddenly faced with the possibility of fame, fortune and popularity, if he can only live with the knowledge of how he got there.",17.79,/1ESsZLvZPIvbCPCh7CPCSnF4EeH.jpg,Lance Clayton is about to get everything he deserves.,"['Comedy', 'Romance', 'Drama']",['United States of America'],['English'],"['high school', 'adolescence', 'poetry', 'lie', 'rejection', 'teacher', 'vulgarity']","['Robin Williams', 'Alexie Gilmore', 'Daryl Sabara']",['Bobcat Goldthwait']
11004,Wonder Boys,6.821,541,2000,0,111,False,35000000,en,Wonder Boys,Grady is a 50-ish English professor who hasn't had a thing published in years—not since he wrote his award winning 'Great American Novel' 7 years ago. This weekend proves even worse than he could imagine as he finds himself reeling from one misadventure to another in the company of a new wonder boy author.,15.102,/vGOdSLaZmu42qqwDUMgrfctJ65M.jpg,Undependable. Unpredictable. Unforgettable.,"['Comedy', 'Drama']","['Germany', 'Japan', 'United Kingdom', 'United States of America']",['English'],"['adultery', 'infidelity', 'robbery', 'based on novel or book', 'police', 'pennsylvania', 'usa', 'winter', 'midlife crisis', 'professor', 'college', 'liar', 'coming of age', 'marijuana', 'snow', 'writer', 'university', 'drugs', 'dog', 'bisexual man', 'drag', 'pittsburgh', 'pennsylvania', 'gay theme', 'small town america', 'gay']","['Michael Douglas', 'Tobey Maguire', 'Frances McDormand']",['Curtis Hanson']
27585,Rabbit Hole,6.68,540,2010,5144717,91,False,5000000,en,Rabbit Hole,Life for a happy couple is turned upside down after their young son dies in an accident.,14.026,/zTUQXwMn4ndt5AAcDvJCi14ZY2B.jpg,The only way out is through.,['Drama'],['United States of America'],['English'],"['loss of loved one', 'support group', 'trauma', 'marriage', 'based on play or musical', 'grief', 'memory', 'crying', 'parking lot', 'therapy', 'car seat', 'death of a child']","['Nicole Kidman', 'Aaron Eckhart', 'Dianne Wiest']",['John Cameron Mitchell']
9707,Bubba Ho-tep,6.571,539,2002,0,92,False,1000000,en,Bubba Ho-tep,"Bubba Ho-tep tells the ""true"" story of what really did become of Elvis Presley. We find Elvis as an elderly resident in an East Texas rest home, who switched identities with an Elvis impersonator years before his ""death,"" then missed his chance to switch back. He must team up with JFK and fight an ancient Egyptian mummy for the souls of their fellow residents.",13.62,/61S9pzoX75UxP3ko6e8aTitu7MW.jpg,The King vs. The King of the Dead.,"['Comedy', 'Horror', 'Thriller', 'Mystery', 'Fantasy']",['United States of America'],"['English', 'German']","['mummy', 'john f. kennedy', 'retirement home']","['Bruce Campbell', 'Ossie Davis', 'Ella Joyce']",['Don Coscarelli']
13007,Religulous,7.063,538,2008,0,101,False,0,en,Religulous,"Commentator-comic Bill Maher plays devil's advocate with religion as he talks to believers about their faith. Traveling around the world, Maher examines the tenets of Christianity, Judaism and Islam and raises questions about homosexuality, proof of Christ's existence, Jewish Sabbath laws, violent Muslim extremists.",18.956,/hBv5LCbWxPB8iU77dwurSGMVZ3N.jpg,Heaven help us.,"['Documentary', 'Comedy']",['United States of America'],"['English', 'Arabic', 'Hebrew', 'Spanish', 'Persian']","['muslim', 'faith', 'museum', 'rabbi', 'interview', 'atheist', 'chapel', 'religion', 'catholic', 'evolution', 'truck driver', 'mormon', 'skeptic', 'atheism', 'creationism', 'aftercreditsstinger']","['Bill Maher', 'Jose Luis De Jesus Miranda', 'Andrew Newberg']",['Larry Charles']
11382,Bullets Over Broadway,7.121,537,1994,0,98,False,0,en,Bullets Over Broadway,"After young playwright, David Shayne obtains funding for his play from gangster Nick Valenti, Nick's girlfriend Olive miraculously lands the role of a psychiatrist—but not only is she a bimbo who could never pass for a psychiatrist—she's a dreadful actress. David puts up with the leading man who is a compulsive eater, the grand dame who wants her part jazzed up, and Olive's interfering hitman/bodyguard—but, eventually he must decide whether art or life is more important.",14.295,/8nEgDgNg59w2reCfgmnNKGMpxIr.jpg,A killer comedy!,"['Comedy', 'Crime']",['United States of America'],['English'],"['new york city', 'lover (female)', 'talent', 'mafia boss', 'author', 'playwright', 'broadway', '1920s', 'compulsive eating']","['John Cusack', 'Dianne Wiest', 'Jennifer Tilly']",['Woody Allen']
14292,Miracle,7.068,537,2004,64445708,135,False,28000000,en,Miracle,"When college coach Herb Brooks is hired to helm the 1980 U.S. men's Olympic hockey team, he brings a unique and brash style to the ice. After assembling a team of hot-headed college all-stars, who are humiliated in an early match, Brooks unites his squad against a common foe: the heavily-favored Soviet team.",11.505,/bQsgMzDjLKUpLzOoijuIWPJvaf0.jpg,"If you believe in yourself, anything can happen.","['Drama', 'History']",['United States of America'],['English'],"['sports', 'olympic games', 'ice hockey', 'milwaukee wisconsin', 'saint paul', 'minnesota', 'gas rationing', 'lake placid new york', 'aftercreditsstinger', 'duringcreditsstinger']","['Kurt Russell', 'Patricia Clarkson', 'Noah Emmerich']","[""Gavin O'Connor""]"
11843,The Return of the Pink Panther,6.785,536,1975,41833347,113,False,5000000,en,The Return of the Pink Panther,The famous Pink Panther jewel has once again been stolen and Inspector Clouseau is called in to catch the thief. The Inspector is convinced that 'The Phantom' has returned and utilises all of his resources – himself and his Asian manservant – to reveal the identity of 'The Phantom'.,14.559,/uQMIicFrH3r3jePOoYHwts4oaC3.jpg,No tagline,"['Mystery', 'Comedy', 'Crime']","['United Kingdom', 'United States of America']",['English'],"['robbery', 'diamond', ""côte d'azur"", 'inspector']","['Peter Sellers', 'Christopher Plummer', 'Herbert Lom']",['Blake Edwards']
14047,The Great Debaters,7.205,533,2007,30226144,126,False,15000000,en,The Great Debaters,The true story of a brilliant but politically radical debate team coach who uses the power of words to transform a group of underdog African-American college students into a historical powerhouse that took on the Harvard elite.,18.292,/nuF3DDlZzNb2qq0tEsYU0zpXf8K.jpg,"When the nation was in need, he inspired them to give us hope.",['Drama'],['United States of America'],['English'],['biography'],"['Denzel Washington', 'Nate Parker', 'Forest Whitaker']",['Denzel Washington']
